регион,уровень,год,количество_квартир
Амурская область,регион,2023,6913
Магаданская область,регион,2023,127
Сахалинская область,регион,2023,7632
Еврейская автономная область,регион,2023,251
Чукотский автономный округ,регион,2023,130
Российская Федерация,страна,2024,1358860
Центральный федеральный округ,федеральный_округ,2024,367553
Белгородская область,регион,2024,8478
Брянская область,регион,2024,5933
Владимирская область,регион,2024,8955
Воронежская область,регион,2024,24273
Ивановская область,регион,2024,4479
Калужская область,регион,2024,9742
Костромская область,регион,2024,3273
Курская область,регион,2024,6992
Липецкая область,регион,2024,7831
Московская область,регион,2024,114434
Орловская область,регион,2024,4977
Рязанская область,регион,2024,7897
Смоленская область,регион,2024,5796
Тамбовская область,регион,2024,4673
Тверская область,регион,2024,8788
Тульская область,регион,2024,11303
Ярославская область,регион,2024,12506
Город Москва,регион,2024,117223
Северо-Западный федеральный округ,федеральный_округ,2024,162107
Республика Карелия,регион,2024,4475
Республика Коми,регион,2024,3061
Архангельская область,регион,2024,8400
Ненецкий автономный округ,регион,2024,327
Архангельская область (кроме Ненецкого автономного округа),регион,2024,8073
Вологодская область,регион,2024,9246
Калининградская область,регион,2024,15512
Ленинградская область,регион,2024,55409
Мурманская область,регион,2024,904
Новгородская область,регион,2024,4100
Псковская область,регион,2024,4654
Город Санкт-Петербург,регион,2024,56345
Южный федеральный округ,федеральный_округ,2024,174507
Республика Адыгея (Адыгея),регион,2024,6769
Республика Калмыкия,регион,2024,1288
Республика Крым,регион,2024,14567
Краснодарский край,регион,2024,90650
Астраханская область,регион,2024,6150
Волгоградская область,регион,2024,14684
Ростовская область,регион,2024,36310
Город Севастополь,регион,2024,4089
Северо-Кавказский федеральный округ,федеральный_округ,2024,76930
Республика Дагестан,регион,2024,20853
Республика Ингушетия,регион,2024,1177
Кабардино-Балкарская Республика,регион,2024,6419
Карачаево-Черкесская Республика,регион,2024,3257
Республика Северная Осетия-Алания,регион,2024,6033
Чеченская Республика,регион,2024,18805
Ставропольский край,регион,2024,20386
Приволжский федеральный округ,федеральный_округ,2024,245682
Республика Башкортостан,регион,2024,41343
Республика Марий Эл,регион,2024,5608
Республика Мордовия,регион,2024,4375
Республика Татарстан (Татарстан),регион,2024,38982
Удмуртская Республика,регион,2024,18831
Чувашская Республика - Чувашия,регион,2024,10425
Пермский край,регион,2024,21870
Кировская область,регион,2024,7595
Нижегородская область,регион,2024,22404
Оренбургская область,регион,2024,13774
Пензенская область,регион,2024,14499
Самарская область,регион,2024,23471
Саратовская область,регион,2024,13075
Ульяновская область,регион,2024,9430
Уральский федеральный округ,федеральный_округ,2024,133047
Курганская область,регион,2024,4706
Свердловская область,регион,2024,47856
Тюменская область,регион,2024,55687
Ханты-Мансийский автономный округ - Югра,регион,2024,13563
Ямало-Ненецкий автономный округ,регион,2024,5422
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2024,36702
Челябинская область,регион,2024,24798
Сибирский федеральный округ,федеральный_округ,2024,130877
Республика Алтай,регион,2024,2753
Республика Тыва,регион,2024,3827
Республика Хакасия,регион,2024,4537
Алтайский край,регион,2024,10451
Красноярский край,регион,2024,22197
Иркутская область,регион,2024,17226
Кемеровская область,регион,2024,11683
Новосибирская область,регион,2024,41499
Омская область,регион,2024,9465
Томская область,регион,2024,7239
Дальневосточный федеральный округ,федеральный_округ,2024,68157
Республика Бурятия,регион,2024,6140
Республика Саха (Якутия),регион,2024,11468
Забайкальский край,регион,2024,5826
Камчатский край,регион,2024,906
Приморский край,регион,2024,18003
Хабаровский край,регион,2024,7807
Амурская область,регион,2024,10386
Магаданская область,регион,2024,148
Сахалинская область,регион,2024,6902
Еврейская автономная область,регион,2024,461
Чукотский автономный округ,регион,2024,110
Российская Федерация,страна,2025,1341560
Центральный федеральный округ,федеральный_округ,2025,379860
Белгородская область,регион,2025,6183
Брянская область,регион,2025,5869
Владимирская область,регион,2025,8734
Воронежская область,регион,2025,26634
Ивановская область,регион,2025,5024
Калужская область,регион,2025,9869
Костромская область,регион,2025,3156
Курская область,регион,2025,8005
Липецкая область,регион,2025,7223
Московская область,регион,2025,118493
Орловская область,регион,2025,3992
Рязанская область,регион,2025,7540
Смоленская область,регион,2025,5111
Тамбовская область,регион,2025,4902
Тверская область,регион,2025,7691
Тульская область,регион,2025,13415
Ярославская область,регион,2025,11092
Город Москва,регион,2025,126926
Северо-Западный федеральный округ,федеральный_округ,2025,160790
Республика Карелия,регион,2025,4434
Республика Коми,регион,2025,2876
Архангельская область,регион,2025,7880
Ненецкий автономный округ,регион,2025,407
Архангельская область (кроме Ненецкого автономного округа),регион,2025,7473
Вологодская область,регион,2025,9851
Калининградская область,регион,2025,14657
Ленинградская область,регион,2025,50657
Мурманская область,регион,2025,1211
Новгородская область,регион,2025,4323
Псковская область,регион,2025,4059
Город Санкт-Петербург,регион,2025,60842
Южный федеральный округ,федеральный_округ,2025,169772
Республика Адыгея (Адыгея),регион,2025,7948
Республика Калмыкия,регион,2025,1476
Республика Крым,регион,2025,15867
Краснодарский край,регион,2025,82913
Астраханская область,регион,2025,8310
Волгоградская область,регион,2025,15007
Ростовская область,регион,2025,34577
Город Севастополь,регион,2025,3674
Северо-Кавказский федеральный округ,федеральный_округ,2025,78170
Республика Дагестан,регион,2025,15590
Республика Ингушетия,регион,2025,1373
Кабардино-Балкарская Республика,регион,2025,6666
Карачаево-Черкесская Республика,регион,2025,2966
Республика Северная Осетия-Алания,регион,2025,5277
Чеченская Республика,регион,2025,24167
Ставропольский край,регион,2025,22131
Приволжский федеральный округ,федеральный_округ,2025,228656
Республика Башкортостан,регион,2025,38016
Республика Марий Эл,регион,2025,5601
Республика Мордовия,регион,2025,3790
Республика Татарстан (Татарстан),регион,2025,39536
Удмуртская Республика,регион,2025,17924
Чувашская Республика - Чувашия,регион,2025,9983
Пермский край,регион,2025,23871
Кировская область,регион,2025,7929
Нижегородская область,регион,2025,19222
Оренбургская область,регион,2025,12661
Пензенская область,регион,2025,11139
Самарская область,регион,2025,20362
Саратовская область,регион,2025,11530
Ульяновская область,регион,2025,7092
Уральский федеральный округ,федеральный_округ,2025,135528
Курганская область,регион,2025,5902
Свердловская область,регион,2025,44987
Тюменская область,регион,2025,61672
Ханты-Мансийский автономный округ - Югра,регион,2025,13277
Ямало-Ненецкий автономный округ,регион,2025,5561
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2025,42834
Челябинская область,регион,2025,22967
Сибирский федеральный округ,федеральный_округ,2025,124629
Республика Алтай,регион,2025,4343
Республика Тыва,регион,2025,5717
Республика Хакасия,регион,2025,6146
Алтайский край,регион,2025,10273
Красноярский край,регион,2025,18565
Иркутская область,регион,2025,18594
Кемеровская область,регион,2025,11924
Новосибирская область,регион,2025,34216
Омская область,регион,2025,10077
Томская область,регион,2025,4774
Дальневосточный федеральный округ,федеральный_округ,2025,64155
Республика Бурятия,регион,2025,6007
Республика Саха (Якутия),регион,2025,12367
Забайкальский край,регион,2025,4791
Камчатский край,регион,2025,1001
Приморский край,регион,2025,18611
Хабаровский край,регион,2025,8779
Амурская область,регион,2025,6434
Магаданская область,регион,2025,261
Сахалинская область,регион,2025,5172
Еврейская автономная область,регион,2025,462
Чукотский автономный округ,регион,2025,271
