регион,уровень,год,количество_квартир
Пензенская область,регион,2005,3836
Самарская область,регион,2005,10752
Саратовская область,регион,2005,8527
Ульяновская область,регион,2005,3531
Уральский федеральный округ,федеральный_округ,2005,45716
Курганская область,регион,2005,1557
Свердловская область,регион,2005,13479
Тюменская область,регион,2005,18548
Ханты-Мансийский автономный округ - Югра,регион,2005,8712
Ямало-Ненецкий автономный округ,регион,2005,3028
Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),регион,2005,6808
Челябинская область,регион,2005,12133
Сибирский федеральный округ,федеральный_округ,2005,55391
Республика Алтай,регион,2005,540
Республика Тыва,регион,2005,302
Республика Хакасия,регион,2005,1317
Алтайский край,регион,2005,4583
Красноярский край,регион,2005,11331
Иркутская область,регион,2005,3630
Кемеровская область,регион,2005,8968
Новосибирская область,регион,2005,9933
Омская область,регион,2005,9543
Томская область,регион,2005,5244
Дальневосточный федеральный округ,федеральный_округ,2005,17064
Республика Бурятия,регион,2005,2377
Республика Саха (Якутия),регион,2005,3834
Забайкальский край,регион,2005,1805
Камчатский край,регион,2005,185
Приморский край,регион,2005,2894
Хабаровский край,регион,2005,2955
Амурская область,регион,2005,1815
Магаданская область,регион,2005,155
Сахалинская область,регион,2005,458
Еврейская автономная область,регион,2005,231
Чукотский автономный округ,регион,2005,355
Российская Федерация,страна,2006,608555
Центральный федеральный округ,федеральный_округ,2006,209685
Белгородская область,регион,2006,9957
Брянская область,регион,2006,2878
Владимирская область,регион,2006,4149
Воронежская область,регион,2006,11685
Ивановская область,регион,2006,2080
Калужская область,регион,2006,3312
Костромская область,регион,2006,1449
Курская область,регион,2006,4524
Липецкая область,регион,2006,6283
Московская область,регион,2006,71347
Орловская область,регион,2006,3700
Рязанская область,регион,2006,4695
Смоленская область,регион,2006,3983
Тамбовская область,регион,2006,4221
Тверская область,регион,2006,4470
Тульская область,регион,2006,2980
Ярославская область,регион,2006,3463
Город Москва,регион,2006,64509
Северо-Западный федеральный округ,федеральный_округ,2006,64037
Республика Карелия,регион,2006,1444
Республика Коми,регион,2006,2701
Архангельская область,регион,2006,2726
Ненецкий автономный округ,регион,2006,557
Вологодская область,регион,2006,4672
Калининградская область,регион,2006,6630
Ленинградская область,регион,2006,7326
Мурманская область,регион,2006,173
Новгородская область,регион,2006,2472
Псковская область,регион,2006,1666
Город Санкт-Петербург,регион,2006,34227
Южный федеральный округ,федеральный_округ,2006,52608
Республика Адыгея (Адыгея),регион,2006,282
Республика Калмыкия,регион,2006,692
Краснодарский край,регион,2006,24282
Астраханская область,регион,2006,4352
Волгоградская область,регион,2006,6966
Ростовская область,регион,2006,16034
Северо-Кавказский федеральный округ,федеральный_округ,2006,17964
Республика Дагестан,регион,2006,5707
Республика Ингушетия,регион,2006,310
Кабардино-Балкарская Республика,регион,2006,1526
Карачаево-Черкесская Республика,регион,2006,624
Республика Северная Осетия-Алания,регион,2006,1874
Чеченская Республика,регион,2006,608
Ставропольский край,регион,2006,7315
Приволжский федеральный округ,федеральный_округ,2006,117054
Республика Башкортостан,регион,2006,21278
Республика Марий Эл,регион,2006,2635
